accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
0,Patna,Bihar,25.586058,85.143413,2023-10-22,5:00,5,Sunday,1,highway,3,1,fog,low,32,high,weather,fatal,2,2,0,,0.85
1,Indore,Madhya Pradesh,22.722889,75.847646,2023-05-21,4:00,4,Sunday,1,urban,4,0,clear,high,34,low,weather,major,4,3,0,,0.1
2,Brahmapur,Odisha,19.319511,84.793639,2024-07-10,13:00,13,Wednesday,0,urban,3,0,fog,low,21,medium,weather,minor,1,1,0,,0.45
3,Baramulla,Jammu and Kashmir,34.205629,74.362135,2025-03-30,11:00,11,Sunday,1,urban,1,1,fog,low,30,high,distraction,minor,5,2,0,,0.65
4,Aurangabad,Maharashtra,19.885663,75.346841,2024-01-25,16:00,16,Thursday,0,highway,3,1,clear,high,24,low,distraction,minor,2,1,0,,0.1
5,Mangalore,Karnataka,12.903474,74.85914,2024-07-29,8:00,8,Monday,0,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,1,,0.65
6,Purnia,Bihar,25.788347,87.46392,2025-03-24,6:00,6,Monday,0,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,0,,0.3
7,Bhagalpur,Bihar,25.234095,86.96828,2023-05-07,14:00,14,Sunday,1,urban,3,1,clear,high,25,low,weather,major,3,0,0,,0.1
8,Mumbai,Maharashtra,19.073097,72.868464,2022-02-25,3:00,3,Friday,0,urban,1,0,rain,low,22,low,poor road,minor,1,0,0,,0.45
9,Kolkata,West Bengal,22.582542,88.367395,2024-03-31,4:00,4,Sunday,1,rural,3,1,clear,high,23,low,weather,minor,1,0,0,,0.1
10,Solapur,Maharashtra,17.665961,75.900659,2022-03-23,13:00,13,Wednesday,0,highway,1,1,fog,low,34,medium,poor road,minor,3,3,0,,0.45
11,Rohtak,Haryana,28.885541,76.614106,2022-01-27,2:00,2,Thursday,0,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,0,,0.25
